United States;17260000;321368864
European Union;13050000;513949445
United Kingdom;9219000;64088222
Germany;5597000;80854408
France;5496000;66553766
Japan;5180000;126919659
Netherlands;4154000;16947904
Luxembourg;3331000;570252
Italy;2459000;61855120
Spain;2064000;48146134
Ireland;1960000;4892305
Switzerland;1533000;8121830
Canada;1491000;35099836
Australia;1381000;22751014
Singapore;1330000;5674472
Belgium;1312000;11323973
Hong Kong;1290000;7141106
Sweden;1010000;9801616
China;949600;1367485388
Brazil;712500;204259812
Austria;675000;8665550
Norway;661200;5207689
Russia;599000;142423773
Finland;547500;5476922
Denmark;534600;5581503
Greece;514400;10775643
Portugal;493700;10825309
India;459100;1251695584
Mexico;424100;121736809
Korea South;409100;49115196
Turkey;402400;79414269
Poland;354200;38562189
Indonesia;293200;255993674
Malaysia;213900;30513848
New Zealand;189800;4438393
